"lam","Fobar","oza","ag","aw"
635,1.65323,0.0835,0,0
636,1.64837591836735,0.0822,0,1e-04
637,1.65403102040816,0.0808,0,7e-04
638,1.66792489795918,0.0794,0,0.0014
639,1.64934326530612,0.078,0,0.0017
640,1.62254714285714,0.0767,0,0.0011
641,1.61259,0.0753,0,0
642,1.61632244897959,0.0739,0,0
643,1.62177959183673,0.0726,0,0
644,1.61905510204082,0.0712,0,0
645,1.61166693877551,0.0699,0,0.0111
646,1.60461804123711,0.0685,0,0.0384
647,1.61108306122449,0.0672,0,0.0743
648,1.61668346938776,0.0659,0,0.1122
649,1.57757306122449,0.0647,0,0.1473
650,1.59237010309278,0.0636,0,0.1728
651,1.62319918367347,0.0625,0,0.1813
652,1.60938489795918,0.0615,0,0.1791
653,1.59198896907217,0.0606,0,0.1714
654,1.57596295918367,0.0597,0,0.1596
655,1.53284463917526,0.0589,0,0.1422
656,1.3365342857143,0.058,0,0.1169
657,1.41453855670104,0.0572,0,0.0874
658,1.53301510204082,0.0563,0,0.0571
659,1.54629762886598,0.0555,0,0.0291
660,1.56144319587629,0.0547,0,0.008
661,1.56727428571429,0.0538,0,0
662,1.57934484536083,0.053,0,0
663,1.55241577319588,0.0521,0,0
664,1.54228897959184,0.0513,0,0
665,1.55727628865979,0.0505,0,0.0011
666,1.54898,0.0496,0,0.0017
667,1.53897896907216,0.0488,0,0.0015
668,1.54001783505155,0.0479,0,0.0011
669,1.55000670103093,0.0471,0,5e-04
670,1.53726216494845,0.0463,0,1e-04
671,1.53263783505155,0.0454,0,0
672,1.52396773195876,0.0446,0,0
673,1.52004773195876,0.0437,0,0
674,1.51630824742268,0.0429,0,0
675,1.512740625,0.0421,0,0
676,1.50935206185567,0.0412,0,0
677,1.50617041237113,0.0404,0,0
678,1.50317536082474,0.0396,0,0
679,1.50034260416667,0.0387,0,0
680,1.49769134020619,0.0379,0,4e-04
681,1.49524515463918,0.037,0,6e-04
682,1.4929771875,0.0362,0,8e-04
683,1.49088742268041,0.0354,0,0.001
684,1.48898,0.0345,0,0.0014
685,1.48726835051546,0.0337,0,0.0017
686,1.48573239583333,0.0328,0.0672,0.0016
687,1.4843678125,0.032,0.81,0.0015
688,1.48320226804124,0.0312,0.65,0.0014
689,1.48869729166667,0.0303,0.5052,0.0013
690,1.49552875,0.0295,0.3604,0.0013
691,1.49049453608247,0.0287,0.325,0.0842
692,1.47931625,0.0278,0.248,0.1961
693,1.4790309375,0.027,0.1566,0.3173
694,1.48101166666667,0.0262,0.0678,0.4341
695,1.46442824742268,0.0254,8e-04,0.5299
696,1.47280625,0.0245,0,0.5878
697,1.467665,0.0238,0,0.6207
698,1.44994625,0.023,0,0.6373
699,1.4763125,0.0223,0,0.6359
700,1.46307041666667,0.0216,0,0.602
701,1.44435666666667,0.0213964615384615,0,0.602
702,1.44235652631579,0.0211929230769231,0,0.602
703,1.4489771875,0.0209893846153846,0,0.602
704,1.458775625,0.0207858461538462,0,0.602
705,1.46114770833333,0.0205823076923077,0,0.602
706,1.44574,0.0203787692307692,0,0.602
707,1.438664,0.0201752307692308,0,0.602
708,1.43162,0.0199716923076923,0,0.602
709,1.41600778947368,0.0197681538461538,0,0.602
710,1.421429375,0.0195646153846154,0,0.602
711,1.4065309375,0.0193610769230769,0,0.602
712,1.39412189473684,0.0191575384615385,0,0.602
713,1.392555,0.018954,0,0.602
